[2025-09-23T05:43:19.275Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9005/ping | {"error":"Error"}
[2025-09-23T05:43:19.274Z] [p2p-server-P1] [DEBUG] Friend primary check completed | {"status":"offline","url":"http://localhost:9003","responseTime":3,"lastCheck":"2025-09-23T05:43:19.274Z","error":"Error"}
[2025-09-23T05:43:19.277Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9000/health | {"error":"Request failed with status code 404","status":404,"data":"<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8\">\n<title>Error</title>\n</head>\n<body>\n<pre>Cannot GET /health</pre>\n</body>\n</html>\n"}
[2025-09-23T05:43:19.277Z] [p2p-server-P1] [DEBUG] Directory server check completed | {"status":"unhealthy","url":"http://localhost:9000","responseTime":7,"lastCheck":"2025-09-23T05:43:19.277Z"}
[2025-09-23T05:43:19.277Z] [p2p-server-P1] [INFO] Health check completed | {"overallHealth":"degraded","responseTime":7,"failedChecks":3}
[2025-09-23T05:43:49.275Z] [p2p-server-P1] [INFO] Starting comprehensive health check
[2025-09-23T05:43:49.276Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9000/health | {"data":null,"headers":{}}
[2025-09-23T05:43:49.277Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9003/ping | {"data":null,"headers":{}}
[2025-09-23T05:43:49.277Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9005/ping | {"data":null,"headers":{}}
[2025-09-23T05:43:49.281Z] [p2p-server-P1] [DEBUG] Self health check completed | {"status":"healthy","sharedDirectory":{"path":"./shared-files/peer1","exists":true,"readable":true},"restPort":9001,"grpcPort":9002,"lastCheck":"2025-09-23T05:43:49.280Z"}
[2025-09-23T05:43:49.282Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9003/ping | {"error":"Error"}
[2025-09-23T05:43:49.282Z] [p2p-server-P1] [DEBUG] Friend primary check completed | {"status":"offline","url":"http://localhost:9003","responseTime":6,"lastCheck":"2025-09-23T05:43:49.282Z","error":"Error"}
[2025-09-23T05:43:49.283Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9005/ping | {"error":"Error"}
[2025-09-23T05:43:49.283Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":6,"lastCheck":"2025-09-23T05:43:49.283Z","error":"Error"}
[2025-09-23T05:43:49.285Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9000/health | {"error":"Request failed with status code 404","status":404,"data":"<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8\">\n<title>Error</title>\n</head>\n<body>\n<pre>Cannot GET /health</pre>\n</body>\n</html>\n"}
[2025-09-23T05:43:49.285Z] [p2p-server-P1] [DEBUG] Directory server check completed | {"status":"unhealthy","url":"http://localhost:9000","responseTime":10,"lastCheck":"2025-09-23T05:43:49.285Z"}
[2025-09-23T05:43:49.285Z] [p2p-server-P1] [INFO] Health check completed | {"overallHealth":"degraded","responseTime":10,"failedChecks":3}
[2025-09-23T05:44:19.281Z] [p2p-server-P1] [INFO] Starting comprehensive health check
[2025-09-23T05:44:19.281Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9000/health | {"data":null,"headers":{}}
[2025-09-23T05:44:19.282Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9003/ping | {"data":null,"headers":{}}
[2025-09-23T05:44:19.282Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9005/ping | {"data":null,"headers":{}}
[2025-09-23T05:44:19.284Z] [p2p-server-P1] [DEBUG] Self health check completed | {"status":"healthy","sharedDirectory":{"path":"./shared-files/peer1","exists":true,"readable":true},"restPort":9001,"grpcPort":9002,"lastCheck":"2025-09-23T05:44:19.284Z"}
[2025-09-23T05:44:19.285Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9003/ping | {"error":"Error"}
[2025-09-23T05:44:19.286Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9005/ping | {"error":"Error"}
[2025-09-23T05:44:19.286Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":4,"lastCheck":"2025-09-23T05:44:19.286Z","error":"Error"}
[2025-09-23T05:44:19.285Z] [p2p-server-P1] [DEBUG] Friend primary check completed | {"status":"offline","url":"http://localhost:9003","responseTime":4,"lastCheck":"2025-09-23T05:44:19.285Z","error":"Error"}
[2025-09-23T05:44:19.287Z] [p2p-server-P1] [DEBUG] Directory server check completed | {"status":"unhealthy","url":"http://localhost:9000","responseTime":6,"lastCheck":"2025-09-23T05:44:19.287Z"}
[2025-09-23T05:44:19.287Z] [p2p-server-P1] [INFO] Health check completed | {"overallHealth":"degraded","responseTime":6,"failedChecks":3}
[2025-09-23T05:44:19.287Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9000/health | {"error":"Request failed with status code 404","status":404,"data":"<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8\">\n<title>Error</title>\n</head>\n<body>\n<pre>Cannot GET /health</pre>\n</body>\n</html>\n"}
[2025-09-23T05:44:49.293Z] [p2p-server-P1] [INFO] Starting comprehensive health check
[2025-09-23T05:44:49.294Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9000/health | {"data":null,"headers":{}}
[2025-09-23T05:44:49.294Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9003/ping | {"data":null,"headers":{}}
[2025-09-23T05:44:49.295Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9005/ping | {"data":null,"headers":{}}
[2025-09-23T05:44:49.298Z] [p2p-server-P1] [DEBUG] Self health check completed | {"status":"healthy","sharedDirectory":{"path":"./shared-files/peer1","exists":true,"readable":true},"restPort":9001,"grpcPort":9002,"lastCheck":"2025-09-23T05:44:49.298Z"}
[2025-09-23T05:44:49.298Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9003/ping | {"error":"Error"}
[2025-09-23T05:44:49.299Z] [p2p-server-P1] [DEBUG] Friend primary check completed | {"status":"offline","url":"http://localhost:9003","responseTime":5,"lastCheck":"2025-09-23T05:44:49.299Z","error":"Error"}
[2025-09-23T05:44:49.299Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":4,"lastCheck":"2025-09-23T05:44:49.299Z","error":"Error"}
[2025-09-23T05:44:49.299Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9005/ping | {"error":"Error"}
[2025-09-23T05:44:49.301Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9000/health | {"error":"Request failed with status code 404","status":404,"data":"<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8\">\n<title>Error</title>\n</head>\n<body>\n<pre>Cannot GET /health</pre>\n</body>\n</html>\n"}
[2025-09-23T05:44:49.301Z] [p2p-server-P1] [DEBUG] Directory server check completed | {"status":"unhealthy","url":"http://localhost:9000","responseTime":8,"lastCheck":"2025-09-23T05:44:49.301Z"}
[2025-09-23T05:44:49.302Z] [p2p-server-P1] [INFO] Health check completed | {"overallHealth":"degraded","responseTime":9,"failedChecks":3}
[2025-09-23T05:45:19.301Z] [p2p-server-P1] [INFO] Starting comprehensive health check
[2025-09-23T05:45:19.301Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9000/health | {"data":null,"headers":{}}
[2025-09-23T05:45:19.302Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9003/ping | {"data":null,"headers":{}}
[2025-09-23T05:45:19.303Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9005/ping | {"data":null,"headers":{}}
[2025-09-23T05:45:19.305Z] [p2p-server-P1] [DEBUG] Self health check completed | {"status":"healthy","sharedDirectory":{"path":"./shared-files/peer1","exists":true,"readable":true},"restPort":9001,"grpcPort":9002,"lastCheck":"2025-09-23T05:45:19.305Z"}
[2025-09-23T05:45:19.305Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9003/ping | {"error":"Error"}
[2025-09-23T05:45:19.305Z] [p2p-server-P1] [DEBUG] Friend primary check completed | {"status":"offline","url":"http://localhost:9003","responseTime":3,"lastCheck":"2025-09-23T05:45:19.305Z","error":"Error"}
[2025-09-23T05:45:19.306Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9005/ping | {"error":"Error"}
[2025-09-23T05:45:19.307Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":4,"lastCheck":"2025-09-23T05:45:19.306Z","error":"Error"}
